iter	Logloss
0	0.6648690859
1	0.6399975648
2	0.6158527809
3	0.5989743037
4	0.5835321492
5	0.5713246037
6	0.5575724034
7	0.546971767
8	0.5379896881
9	0.5286859559
10	0.5191113247
11	0.5107073435
12	0.5056224615
13	0.4975150805
14	0.4911336338
15	0.4851767067
16	0.4802003979
17	0.4758230385
18	0.4706706583
19	0.4645888367
20	0.4610054268
21	0.4576970592
22	0.4549658287
23	0.4516225925
24	0.4471288127
25	0.4433568682
26	0.4402458327
27	0.4377517458
28	0.4354990071
29	0.4317552898
30	0.4286186661
31	0.4252326351
32	0.4217888422
33	0.4199042982
34	0.4159522879
35	0.4142008145
36	0.412041171
37	0.4092425176
38	0.4076160218
39	0.4059412604
40	0.4044835672
41	0.401388919
42	0.3995611531
43	0.3973773275
44	0.395438442
45	0.3943876931
46	0.3926078467
47	0.390623029
48	0.3889492105
49	0.3869933555
50	0.385530303
51	0.3838417659
52	0.3818759347
53	0.3802029111
54	0.3796794995
55	0.3778877613
56	0.3762627571
57	0.3753409728
58	0.3737558984
59	0.3727775392
60	0.371037635
61	0.3700613601
62	0.3686391546
63	0.3676295933
64	0.3661350435
65	0.364176694
66	0.3627671573
67	0.3618812989
68	0.3605964607
69	0.3584960812
70	0.3571204414
71	0.3562255735
72	0.3548490411
73	0.3543717565
74	0.3536535984
75	0.3526933208
76	0.3511659476
77	0.3498562244
78	0.3486947785
79	0.3472648434
80	0.3463935523
81	0.3453679481
82	0.3443840562
83	0.3436872233
84	0.3431609296
85	0.3425554503
86	0.3412806548
87	0.3397365231
88	0.3389016661
89	0.3379295702
90	0.336288495
91	0.3353874827
92	0.3338575728
93	0.3328986452
94	0.3311461338
95	0.3299622127
96	0.3289144914
97	0.32828563
98	0.3268736081
99	0.3253407473
100	0.3241396855
101	0.3234065592
102	0.321865984
103	0.320920801
104	0.3194588549
105	0.3183568017
106	0.3173761982
107	0.3167365924
108	0.3155283996
109	0.3143698447
110	0.3126836414
111	0.3117417014
112	0.3110842469
113	0.3099096618
114	0.3088726198
115	0.3075256759
116	0.3065660109
117	0.3053346077
118	0.304448542
119	0.3036928531
120	0.3019064387
121	0.3002994345
122	0.2999629983
123	0.2990912033
124	0.2981833459
125	0.2975048186
126	0.2963894626
127	0.2950463718
128	0.2940184959
129	0.2926883796
130	0.2914311642
131	0.2905913239
132	0.2895206047
133	0.2883452118
134	0.2872711426
135	0.2862873805
136	0.2853463901
137	0.2836770229
138	0.2824023309
139	0.2812429863
140	0.2806832908
141	0.279129118
142	0.2778660884
143	0.2771225195
144	0.2769169798
145	0.2760243501
146	0.274833833
147	0.27406797
148	0.2733808787
149	0.2723046161
150	0.2719062896
151	0.2714067223
152	0.2705437128
153	0.2697808648
154	0.2693351892
155	0.268153189
156	0.267122304
157	0.266529646
158	0.2647010731
159	0.2639866836
160	0.2634062529
161	0.2624328232
162	0.2613905371
163	0.2607582616
164	0.2600777673
165	0.2593521006
166	0.2578017224
167	0.2566915127
168	0.2566072865
169	0.2561579957
170	0.2560587755
171	0.255315173
172	0.2542758435
173	0.2534494131
174	0.2521265885
175	0.2511558571
176	0.250509493
177	0.2497998768
178	0.2488231866
179	0.2481446101
180	0.2473306489
181	0.2467941434
182	0.2460102763
183	0.2441477771
184	0.2428067353
185	0.2423896013
186	0.2419496197
187	0.2408915636
188	0.2399232999
189	0.239090365
190	0.2383888094
191	0.2377030305
192	0.2370201367
193	0.2364107019
194	0.2346128445
195	0.2333965887
196	0.2327367635
197	0.2320297485
198	0.2313638821
199	0.2301825739
200	0.2292235952
201	0.2283499614
202	0.2272536014
203	0.2268338864
204	0.226205002
205	0.2255982418
206	0.2246564513
207	0.2243557827
208	0.2233855979
209	0.2220414051
210	0.2213846237
211	0.2207013837
212	0.2197815055
213	0.2191610182
214	0.2186488209
215	0.2175446449
216	0.2171882234
217	0.2165714784
218	0.2162317042
219	0.2154408566
220	0.2146925864
221	0.2129602384
222	0.2120503501
223	0.2115266134
224	0.2104852189
225	0.2094574186
226	0.2089766617
227	0.208586281
228	0.208304084
229	0.2075941008
230	0.2068387392
231	0.2062676071
232	0.2058413497
233	0.2051085431
234	0.204615547
235	0.2036077918
236	0.2027892759
237	0.2017034018
238	0.2006593284
239	0.1998597515
240	0.1991630523
241	0.1988606278
242	0.1986669669
243	0.1978111263
244	0.1974254201
245	0.1966803865
246	0.1958094875
247	0.1956657387
248	0.1951789703
249	0.1948261594
250	0.1941727892
251	0.1933926704
252	0.1926955547
253	0.1922633141
254	0.1918564827
255	0.1913518537
256	0.1906751094
257	0.1902942354
258	0.1898830421
259	0.1888264451
260	0.1884738968
261	0.1879554211
262	0.187283417
263	0.187089175
264	0.1865057072
265	0.1857189419
266	0.1847020876
267	0.184146073
268	0.1836877133
269	0.1826351103
270	0.1816273135
271	0.1811248248
272	0.1799881278
273	0.179357548
274	0.1792082415
275	0.178891072
276	0.1779242512
277	0.1777312072
278	0.1758523479
279	0.1752815454
280	0.1749284452
281	0.1741401764
282	0.1735225201
283	0.1726209893
284	0.1722478913
285	0.1719063121
286	0.1714931697
287	0.1710712756
288	0.1705488495
289	0.1701496636
290	0.1698976925
291	0.1689073123
292	0.1679572586
293	0.1674870287
294	0.1670277687
295	0.1664501299
296	0.1660195898
297	0.164792762
298	0.1645860109
299	0.1644979512
